fullName,department,position_title,years_of_experience,salary,hire_date,employee_status,position,performance_rating
Adena Dyde,Training,Database Administrator IV,16,130099.23,5/12/2012,active,Support Staff,4.3
Inger Allsup,Support,Mechanical Systems Engineer,11,120394.46,12/16/2012,inactive,Professional Staff,1.6
Harlan Roadknight,Legal,Account Representative I,22,116970.79,3/11/2002,on leave,Senior Management,1.6
Steffane Tripp,Product Management,Human Resources Manager,20,80552.87,9/20/2007,active,Professional Staff,4.0
Benedikta Chyuerton,Human Resources,GIS Technical Architect,0,75241.05,9/13/2009,active,Support Staff,1.5
Bell Halleday,Sales,Recruiting Manager,14,109904.67,2/19/2002,active,Professional Staff,4.7
Joe Antusch,Support,Registered Nurse,22,80162.71,11/20/2014,active,Administrative Staff,5.0
Ailsun By,Product Management,Automation Specialist IV,6,51785.73,6/25/2001,active,Professional Staff,4.0
Clea Bromwich,Services,Software Test Engineer I,20,77530.78,10/15/2017,active,Executive Level,3.1
Maye Mayow,Services,Assistant Professor,6,52691.57,7/10/2005,active,Support Staff,2.9
Keary Lemerie,Accounting,Environmental Specialist,1,117875.58,3/26/2001,active,Middle Management,2.4
Davita Landrean,Training,Geological Engineer,3,55600.19,3/26/2010,on leave,Professional Staff,4.5
Drucie Saiens,Engineering,General Manager,23,95716.94,10/21/2014,inactive,Executive Level,2.9
Fredek Brendeke,Marketing,Quality Engineer,4,136078.06,6/20/2014,active,Professional Staff,2.5
Hans Jacobsz,Sales,Senior Developer,4,62493.01,11/7/2001,inactive,Support Staff,4.5
Berton Collicott,Engineering,Environmental Specialist,17,87602.56,5/22/2003,on leave,Support Staff,2.9
Ogdan Campling,Engineering,General Manager,25,124907.97,3/2/2000,active,Senior Management,4.1
Jess Loomis,Product Management,Marketing Manager,29,142274.44,3/4/2009,active,Senior Management,1.4
Selie Keunemann,Legal,Account Representative I,21,94609.21,9/7/2013,active,Administrative Staff,5.0
Nicole Colchett,Sales,Associate Professor,0,133966.13,4/11/2006,inactive,Senior Management,2.0
Zak Giotto,Training,VP Product Management,18,104440.18,8/25/2018,active,Professional Staff,4.0
Correy Sapauton,Services,Human Resources Manager,14,81419.46,1/8/2002,active,Junior Management,4.1
Darius Starton,Business Development,Paralegal,22,94310.55,11/4/2008,active,Executive Level,2.1
Gerik Runnalls,Engineering,Director of Sales,16,66825.43,10/28/2003,active,Support Staff,1.3
Dehlia Pirt,Product Management,General Manager,10,123175.63,3/19/2002,active,Senior Management,4.4
Jilleen Durie,Research and Development,Automation Specialist III,27,81004.31,4/14/2019,active,Professional Staff,1.4
Nanon Bowry,Engineering,Staff Accountant II,28,97751.22,9/11/2010,inactive,Professional Staff,1.4
Phil Borg-Bartolo,Research and Development,Design Engineer,24,117280.25,10/28/2018,active,Support Staff,2.1
Arlin Crewes,Training,Project Manager,28,76935.78,5/15/2011,active,Professional Staff,2.1
Ina Danilewicz,Business Development,Compensation Analyst,4,94094.39,3/20/2003,on leave,Professional Staff,4.2
Evyn Yerby,Sales,Operator,17,60800.54,9/22/2014,active,Junior Management,4.8
Magda Gillyatt,Training,Statistician II,4,108017.5,1/8/2012,inactive,Junior Management,2.6
Rhiamon Dewey,Engineering,Operator,25,97662.37,11/16/2005,inactive,Junior Management,1.5
Danny Farmloe,Human Resources,Executive Secretary,6,108295.06,5/20/2014,active,Professional Staff,1.1
Lotti Sallinger,Business Development,Mechanical Systems Engineer,8,121638.4,2/23/2020,on leave,Senior Management,3.6
Yoshi Cocking,Services,Information Systems Manager,21,99287.37,3/21/2014,active,Senior Management,4.7
Sonnnie Felce,Marketing,Sales Representative,20,102593.91,1/25/2002,active,Professional Staff,4.5
Olympie Hairon,Training,Cost Accountant,21,122609.28,12/20/2000,active,Support Staff,2.9
Kevan Newe,Services,Sales Associate,18,99724.7,1/13/2003,on leave,Support Staff,1.1
Camille Whitcomb,Legal,VP Accounting,2,114699.78,12/19/2004,active,Support Staff,2.4
Charis Akenhead,Support,Teacher,0,147673.59,2/25/2012,inactive,Professional Staff,4.4
Dirk Vanichkov,Accounting,Assistant Media Planner,13,74882.01,11/16/2009,active,Senior Management,1.4
Beale Oels,Accounting,Legal Assistant,11,83058.49,9/2/2012,on leave,Professional Staff,4.0
Astra Sumpter,Research and Development,Desktop Support Technician,14,88116.15,3/27/2002,active,Middle Management,4.8
Viole Whiten,Training,Operator,4,67172.17,8/17/2018,active,Middle Management,1.4
Yevette Nucator,Human Resources,Software Engineer IV,4,65302.17,2/21/2022,active,Support Staff,1.7
Augustus Tinker,Sales,Quality Control Specialist,12,69919.24,4/2/2006,on leave,Professional Staff,2.7
Witty Rodrigo,Business Development,Junior Executive,12,51044.77,7/5/2022,active,Executive Level,2.5
Rubina Feares,Product Management,Media Manager IV,18,105465.49,6/18/2014,active,Senior Management,2.0
Brear Fawdry,Human Resources,Actuary,0,96192.34,8/15/2021,active,Support Staff,4.9
Cristionna Farquharson,Sales,Quality Engineer,26,67293.17,7/2/2000,active,Senior Management,3.6
Belle Abrahmer,Human Resources,Help Desk Operator,19,105260.74,2/12/2020,active,Support Staff,4.1
Jennifer Dodding,Sales,VP Sales,11,100416.92,4/29/2001,active,Professional Staff,2.1
Irena Kealy,Training,Biostatistician I,16,142705.17,8/29/2021,active,Administrative Staff,1.8
Amandi Jerschke,Accounting,Software Test Engineer IV,19,98770.31,2/19/2013,active,Professional Staff,1.4
Bud Bugby,Accounting,Database Administrator III,15,124065.38,5/1/2016,active,Middle Management,1.2
Mano Pendleton,Training,Director of Sales,26,103561.55,11/10/2015,active,Support Staff,2.3
Valli Pickavance,Training,Nuclear Power Engineer,18,137474.96,9/28/2005,active,Professional Staff,3.8
Issie Patington,Training,Staff Accountant II,12,83057.46,9/9/2006,active,Support Staff,1.8
Roxanna Linsley,Sales,Software Test Engineer II,25,117355.77,12/28/2005,on leave,Professional Staff,5.0
Amy Abdon,Services,Automation Specialist I,2,93600.06,8/7/2010,active,Support Staff,4.4
Andriana Treadgall,Product Management,Nuclear Power Engineer,29,90820.47,12/3/2021,active,Middle Management,1.9
Fran Christensen,Training,Clinical Specialist,27,111120.29,9/2/2006,inactive,Professional Staff,3.1
Fabe Kosel,Research and Development,VP Accounting,17,110282.45,12/26/2007,active,Support Staff,1.6
Paulette Moncreif,Sales,Software Test Engineer I,6,130050.16,9/16/2013,active,Support Staff,4.6
Louella Summersby,Legal,Professor,9,137971.21,7/31/2008,active,Senior Management,2.4
Annabela Wharlton,Training,Administrative Officer,10,97392.56,4/11/2008,active,Junior Management,1.5
Kalila Harflete,Sales,Physical Therapy Assistant,16,53706.72,12/8/2006,active,Executive Level,4.4
Stafani Kingswoode,Research and Development,Occupational Therapist,23,110786.15,2/21/2008,inactive,Junior Management,4.3
Flossy De Zuani,Product Management,Account Executive,5,125836.85,2/9/2017,active,Professional Staff,3.9
Lazaro Sewall,Product Management,Actuary,16,86244.96,5/9/2011,inactive,Junior Management,4.3
Almeta Igglesden,Human Resources,Design Engineer,17,142832.7,1/4/2007,active,Support Staff,1.1
Tiffi Earey,Marketing,Structural Analysis Engineer,17,103066.36,4/3/2013,active,Professional Staff,3.2
Herman Romans,Accounting,Senior Sales Associate,4,137280.79,1/12/2012,active,Professional Staff,2.0
Edeline Chomley,Accounting,Registered Nurse,21,136797.63,4/7/2007,active,Senior Management,1.0
Feodor Jorio,Sales,General Manager,1,109729.85,1/31/2002,active,Senior Management,5.0
Phineas Oxteby,Business Development,Help Desk Operator,3,149164.53,5/3/2011,active,Professional Staff,4.4
Samaria Stansby,Product Management,Payment Adjustment Coordinator,27,136554.64,9/2/2011,active,Professional Staff,1.7
Alis Joisce,Marketing,Payment Adjustment Coordinator,19,101859.09,3/21/2017,on leave,Middle Management,2.2
Valentin Shervil,Sales,Programmer Analyst II,2,99742.23,7/30/2002,inactive,Support Staff,1.3
Julius Twaite,Support,Paralegal,10,106469.97,4/4/2011,inactive,Middle Management,3.2
Marcile Greig,Human Resources,Dental Hygienist,18,131538.01,2/25/2021,active,Support Staff,1.4
Roddie Tuley,Legal,Accountant II,10,140845.19,6/30/2021,active,Support Staff,3.7
Loutitia Domini,Product Management,VP Quality Control,14,95651.01,11/30/2005,active,Senior Management,3.5
Suki Hedin,Engineering,Graphic Designer,14,120749.39,8/26/2000,active,Executive Level,4.3
Ronny Yesipov,Human Resources,Senior Developer,0,142647.6,11/4/2000,active,Junior Management,1.4
Broderick Doust,Research and Development,Database Administrator III,17,141550.57,5/19/2020,active,Professional Staff,1.4
Torrey Legate,Accounting,Clinical Specialist,4,105314.43,1/4/2013,active,Middle Management,2.0
Rosalyn Twigg,Support,Computer Systems Analyst IV,10,50440.66,4/21/2019,active,Professional Staff,4.8
Amy Renfree,Accounting,Financial Advisor,9,81193.04,5/16/2009,inactive,Junior Management,2.6
Melessa Marciskewski,Engineering,Internal Auditor,0,119827.6,2/8/2001,active,Senior Management,1.9
Georgena Stuchberry,Accounting,GIS Technical Architect,22,50360.63,12/30/2021,active,Senior Management,4.6
Andreana Maddock,Accounting,Actuary,23,120579.04,7/1/2015,active,Support Staff,4.2
Sigvard Corse,Marketing,Account Executive,22,55835.17,10/3/2005,active,Support Staff,3.7
Bette-ann Budd,Sales,VP Product Management,16,111518.11,11/13/2016,active,Professional Staff,3.4
Barbara-anne Ledeker,Marketing,Design Engineer,29,120996.88,3/16/2013,active,Executive Level,1.0
Berti Kilduff,Training,VP Quality Control,13,60436.98,7/13/2012,on leave,Professional Staff,2.3
Brenden Thorndycraft,Engineering,Senior Developer,22,89570.78,10/27/2018,active,Junior Management,2.4
Aimil Leggat,Training,Teacher,29,101414.1,9/20/2021,inactive,Middle Management,4.5
Bartel Sloper,Marketing,Computer Systems Analyst III,17,70383.67,11/22/2006,active,Junior Management,3.5
Abrahan Richings,Product Management,Analyst Programmer,8,103393.3,2/25/2022,on leave,Senior Management,1.8
Daphene Goutcher,Sales,Financial Advisor,12,137789.87,8/7/2005,active,Professional Staff,3.7
Terese McBlain,Marketing,Database Administrator III,15,85642.39,1/31/2009,active,Professional Staff,3.7
Gipsy Hellikes,Legal,Web Designer II,6,121476.24,11/7/2014,active,Executive Level,4.0
Ketty Lenormand,Marketing,Speech Pathologist,30,54474.55,2/16/2018,on leave,Professional Staff,4.8
Lavina Ridolfi,Business Development,Web Designer IV,25,146603.18,5/14/2022,active,Professional Staff,1.8
Marthe Vasilyevski,Business Development,Geological Engineer,22,91186.1,7/16/2016,active,Administrative Staff,1.9
Vaughn Boldison,Legal,Assistant Media Planner,15,149943.07,1/18/2011,active,Support Staff,3.7
Arlen Stocking,Human Resources,Senior Cost Accountant,9,77002.4,7/20/2002,active,Senior Management,4.0
Kassandra Gaze,Sales,Director of Sales,24,103417.38,10/21/2008,active,Executive Level,2.4
Devonna Monckman,Services,Human Resources Assistant III,11,69739.58,6/11/2002,inactive,Professional Staff,4.7
Hal Petroselli,Product Management,Senior Financial Analyst,28,71745.02,7/24/2018,active,Administrative Staff,2.0
Lauryn Pluthero,Engineering,Assistant Manager,21,144452.63,3/8/2012,active,Senior Management,4.9
Georgeanne Betke,Legal,Recruiting Manager,6,116901.16,12/22/2005,active,Junior Management,3.0
Chickie Rahlof,Legal,VP Product Management,23,51490.51,5/20/2004,active,Support Staff,3.8
Claiborn Mayger,Business Development,Civil Engineer,22,93937.07,9/18/2005,active,Administrative Staff,4.2
Shannah Laxtonne,Marketing,Director of Sales,30,56762.17,9/14/2012,active,Executive Level,2.8
Erie Huggard,Research and Development,Web Designer II,18,90294.27,4/23/2012,active,Executive Level,3.9
Sarena Ace,Product Management,Librarian,7,92349.99,9/4/2000,on leave,Professional Staff,2.3
Ignacius Philippault,Accounting,Environmental Specialist,7,73939.4,10/3/2022,active,Junior Management,1.8
Lucienne Chelsom,Services,Recruiter,13,135462.83,9/7/2012,on leave,Professional Staff,2.2
Noelyn MacKill,Marketing,Marketing Manager,21,144321.27,12/16/2019,active,Support Staff,4.6
Sam Eliesco,Support,Nuclear Power Engineer,23,52413.11,3/3/2006,active,Middle Management,1.8
Hermon Filpo,Training,Paralegal,18,134636.27,8/11/2001,active,Professional Staff,1.6
Shurwood GiacobbiniJacob,Product Management,Structural Engineer,22,114174.25,3/6/2005,on leave,Junior Management,4.2
Kristel Kinrade,Business Development,Payment Adjustment Coordinator,27,56721.82,1/14/2017,active,Senior Management,1.5
Tania Paten,Product Management,Assistant Professor,29,59874.98,4/12/2014,active,Senior Management,2.5
Raven Roberds,Engineering,Chemical Engineer,30,135515.97,8/22/2009,active,Support Staff,2.9
Ferdy Burdis,Business Development,Compensation Analyst,11,109946.93,3/29/2006,active,Professional Staff,1.4
Heinrik Caskey,Research and Development,Senior Quality Engineer,15,103969.01,4/12/2016,active,Senior Management,1.9
Carmelle Keyser,Sales,Geological Engineer,1,51242.47,9/8/2022,active,Junior Management,1.4
Moise Normanville,Accounting,Chemical Engineer,28,124667.22,11/7/2021,active,Professional Staff,1.4
Zarah Veillard,Engineering,Community Outreach Specialist,26,77685.0,12/1/2014,active,Senior Management,4.0
Merlina Kimberly,Accounting,Librarian,25,144316.01,9/12/2000,inactive,Professional Staff,4.3
Jarad Bottomer,Business Development,Environmental Tech,28,109388.68,2/12/2016,active,Senior Management,4.5
Alexina Dene,Engineering,Information Systems Manager,19,135590.78,3/11/2022,on leave,Senior Management,4.6
Mayne Cowan,Accounting,Developer IV,0,68861.39,9/21/2018,inactive,Professional Staff,3.2
Dorena Vakhrushin,Business Development,General Manager,30,58982.51,5/6/2016,on leave,Professional Staff,1.2
Natalee Ramsbottom,Training,Legal Assistant,11,80455.54,9/19/2021,active,Senior Management,3.4
Montgomery Pankettman,Marketing,Data Coordinator,12,147405.66,6/1/2014,inactive,Senior Management,2.3
Sherlock Edgin,Sales,Actuary,13,63487.47,12/24/2000,inactive,Professional Staff,3.4
Fae Comber,Marketing,Administrative Assistant III,2,94644.93,8/13/2006,active,Support Staff,4.7
Warren Ackenson,Human Resources,Civil Engineer,27,63029.53,5/7/2003,active,Senior Management,4.7
Felizio Featherstonhaugh,Sales,Structural Analysis Engineer,9,69038.2,5/30/2012,active,Executive Level,2.9
Deborah Tame,Research and Development,Social Worker,17,91519.69,3/19/2013,active,Support Staff,3.2
Danya Brandon,Human Resources,Engineer IV,6,89995.79,1/23/2002,inactive,Professional Staff,4.7
Abran Renn,Marketing,Professor,23,65988.03,8/11/2016,active,Professional Staff,4.1
Danni Cocher,Training,Registered Nurse,25,54117.83,3/7/2009,active,Executive Level,4.3
Alastair Senogles,Business Development,Librarian,1,114620.74,4/10/2010,inactive,Middle Management,1.5
Loella Gosnell,Human Resources,Account Coordinator,18,107455.98,9/6/2022,active,Support Staff,5.0
Kaitlyn Winscum,Marketing,Project Manager,0,107096.43,4/1/2007,on leave,Professional Staff,2.2
Blaire Faiers,Legal,Associate Professor,8,58656.28,4/13/2005,active,Junior Management,1.0
Maryjane Sidgwick,Training,Chemical Engineer,11,146419.35,8/23/2007,on leave,Professional Staff,1.2
Lindsey Lytle,Marketing,Accountant II,17,99852.12,11/20/2018,active,Senior Management,4.0
Alana Winsborrow,Marketing,Compensation Analyst,13,146763.56,1/11/2006,active,Professional Staff,4.6
Cymbre Talkington,Human Resources,Safety Technician II,5,146380.76,12/16/2022,on leave,Support Staff,1.3
Callean Heinert,Sales,Automation Specialist I,2,127024.36,8/31/2018,on leave,Professional Staff,5.0
Kacie Slyne,Accounting,Executive Secretary,16,61976.41,10/1/2022,on leave,Administrative Staff,3.8
Goober Shilliday,Marketing,Payment Adjustment Coordinator,1,98248.83,11/9/2003,active,Middle Management,3.3
Teirtza Pattinson,Human Resources,Occupational Therapist,5,121772.67,10/31/2004,active,Professional Staff,4.1
Dean Wahlberg,Services,Associate Professor,15,59921.76,4/21/2018,active,Support Staff,3.0
Farrell McCunn,Engineering,Teacher,12,59647.16,2/9/2002,on leave,Professional Staff,2.5
Hedwiga McGeoch,Marketing,Recruiter,27,87462.91,8/25/2008,on leave,Professional Staff,3.3
Ursula Lanyon,Product Management,Geologist III,20,53227.79,7/21/2009,active,Professional Staff,2.1
Ophelie Ewestace,Engineering,VP Product Management,0,135597.02,7/5/2002,active,Middle Management,2.6
Adriaens Corben,Marketing,Legal Assistant,28,139916.71,8/5/2014,active,Professional Staff,4.6
Bayard Veal,Product Management,Business Systems Development Analyst,26,103905.4,2/15/2021,active,Support Staff,4.7
Cleo Brodeur,Accounting,Programmer I,20,86539.05,2/18/2005,active,Executive Level,1.7
Emilia Shill,Engineering,Tax Accountant,12,81032.25,4/27/2007,on leave,Administrative Staff,4.1
Elva Littley,Marketing,Analyst Programmer,17,75964.8,3/24/2011,active,Administrative Staff,1.6
Shela Dilrew,Engineering,Systems Administrator II,26,122265.32,11/30/2005,inactive,Support Staff,2.8
Jens Preon,Legal,Payment Adjustment Coordinator,16,99408.0,12/31/2013,active,Support Staff,4.4
Casey Struthers,Services,Assistant Professor,21,132447.56,10/26/2004,on leave,Support Staff,4.1
Nikolaus Bleazard,Legal,Research Assistant II,2,86824.0,8/9/2003,active,Senior Management,4.4
Drusie Redihalgh,Product Management,Registered Nurse,8,58151.03,11/13/2015,on leave,Support Staff,3.0
Gray Dargavel,Support,Accounting Assistant IV,19,83880.12,9/27/2000,active,Junior Management,4.0
Vi McLauchlin,Support,Chief Design Engineer,29,114180.8,3/12/2008,active,Executive Level,3.8
Lilias Klamman,Sales,Web Developer I,14,107729.61,3/23/2005,active,Senior Management,1.0
Nikki Mepham,Training,Community Outreach Specialist,25,87978.81,6/16/2018,active,Executive Level,2.1
Adela Mitchel,Marketing,Analog Circuit Design manager,12,130472.87,10/10/2006,on leave,Professional Staff,2.2
Aidan Polly,Sales,Statistician III,4,69604.48,1/2/2008,active,Executive Level,1.6
Nedi Schieferstein,Product Management,Biostatistician II,23,86105.24,3/19/2016,active,Support Staff,3.2
Bondon O'Scollain,Marketing,Business Systems Development Analyst,21,75268.81,7/20/2004,active,Support Staff,1.2
Leonore Lethabridge,Accounting,Account Executive,30,110500.76,3/3/2019,active,Senior Management,2.9
Ketti Lilbourne,Sales,VP Marketing,17,65003.74,5/31/2021,active,Senior Management,1.4
Goddart Cubberley,Accounting,Recruiter,4,149314.82,10/3/2018,on leave,Professional Staff,2.9
Ranna Gianelli,Engineering,Geological Engineer,23,110385.56,1/24/2017,active,Administrative Staff,4.0
Kaleena McCauley,Human Resources,VP Marketing,11,129938.71,5/19/2011,on leave,Support Staff,2.9
Rachele Luisetti,Services,Account Coordinator,26,141610.52,2/7/2022,active,Professional Staff,2.6
Bobbie Lamberton,Human Resources,VP Marketing,24,55273.22,3/10/2014,active,Professional Staff,2.5
Devondra Hayter,Human Resources,Mechanical Systems Engineer,0,127411.22,10/24/2017,active,Senior Management,2.0
Lillian MacDunlevy,Legal,Engineer I,6,80493.84,4/20/2011,inactive,Support Staff,1.1
Eran Beckingham,Support,Assistant Professor,1,67212.63,9/23/2016,inactive,Junior Management,2.4
Avrit Petrazzi,Marketing,Speech Pathologist,5,118625.05,10/7/2019,on leave,Middle Management,3.0
Demetre Humby,Research and Development,Electrical Engineer,23,127219.39,1/1/2014,inactive,Professional Staff,4.8
Husein Klebes,Legal,VP Accounting,23,58415.6,3/15/2003,active,Support Staff,1.4
Anselma O'Nowlan,Business Development,Help Desk Technician,29,126584.75,7/4/2013,active,Senior Management,1.5
Ulrica Queripel,Business Development,Software Engineer IV,15,87092.54,6/22/2009,inactive,Executive Level,5.0
Charlot Kohler,Training,Nurse Practicioner,18,141954.9,4/7/2019,active,Executive Level,3.6
Ariela Auchinleck,Accounting,Nurse,25,144194.77,9/22/2011,active,Administrative Staff,2.1
Graham Clemon,Marketing,Statistician III,22,89475.65,6/23/2011,active,Support Staff,4.4
Cymbre Ciementini,Support,Administrative Assistant IV,10,136918.92,11/20/2007,active,Middle Management,2.3
Charmain Whelan,Engineering,Junior Executive,25,118155.74,11/20/2020,on leave,Executive Level,2.5
Angelo Edgett,Engineering,VP Product Management,10,67563.54,9/17/2000,active,Administrative Staff,3.8
Constantina Skudder,Human Resources,Librarian,26,140991.79,3/13/2012,inactive,Support Staff,2.0
Harbert Waadenburg,Research and Development,Recruiter,29,106103.01,2/21/2022,inactive,Senior Management,1.7
Tallie Haverty,Marketing,Software Test Engineer I,16,90006.39,2/28/2019,active,Junior Management,1.7
Michel Santo,Business Development,Assistant Professor,28,107599.98,1/12/2022,active,Support Staff,3.7
Chrissy Barefoot,Training,Safety Technician IV,17,52624.34,1/28/2003,on leave,Professional Staff,4.9
Wilhelm Janota,Sales,Accounting Assistant I,7,104907.07,11/20/2020,on leave,Middle Management,2.1
Helen Zannuto,Human Resources,Senior Developer,3,80605.8,4/12/2021,active,Professional Staff,3.7
Ronny Gyngyll,Business Development,Statistician II,19,137973.22,1/19/2016,active,Senior Management,1.8
Ali Gambie,Product Management,Nuclear Power Engineer,21,137463.41,4/29/2004,active,Professional Staff,2.2
Stefa Vassie,Sales,Recruiting Manager,21,102530.53,7/4/2005,on leave,Support Staff,3.5
Rina D'Alessandro,Product Management,Executive Secretary,27,101610.23,8/15/2022,inactive,Support Staff,2.5
Zena Skin,Legal,Quality Control Specialist,27,124654.43,9/5/2007,inactive,Executive Level,1.1
Stanton Archdeckne,Business Development,Web Developer I,0,137026.5,6/24/2008,active,Senior Management,2.9
Tally Christley,Marketing,Data Coordinator,27,95009.39,10/9/2021,active,Middle Management,1.4
Dallon Balas,Accounting,Biostatistician IV,29,59920.65,12/25/2003,active,Support Staff,1.2
Isaiah Baswall,Support,Nurse Practicioner,24,83014.02,8/3/2021,active,Support Staff,4.8
Verina Jarratt,Product Management,Desktop Support Technician,27,54735.73,9/2/2009,active,Support Staff,1.2
Dell Frith,Support,Account Executive,12,67008.46,1/30/2020,inactive,Professional Staff,4.2
Minnaminnie Horrigan,Marketing,Physical Therapy Assistant,3,95977.92,1/8/2014,active,Professional Staff,2.1
Franky Menichini,Sales,Administrative Assistant II,30,91934.68,11/17/2002,active,Support Staff,2.6
Heidie Rostron,Marketing,Accountant II,29,147484.57,3/6/2022,active,Middle Management,1.4
Zacharias Hulland,Services,Assistant Media Planner,14,98574.99,1/19/2001,active,Professional Staff,1.0
Cyndie Raynham,Human Resources,Automation Specialist III,6,112511.67,7/31/2010,active,Support Staff,4.8
Andrey Hartopp,Engineering,Financial Advisor,10,85266.23,9/16/2022,inactive,Professional Staff,1.3
Perry Whether,Sales,Marketing Assistant,25,136932.88,11/21/2019,active,Professional Staff,1.8
Goldarina Jude,Marketing,Help Desk Technician,21,106825.08,3/11/2015,on leave,Support Staff,1.1
Alanah Manwell,Training,Tax Accountant,12,108189.6,4/7/2005,inactive,Middle Management,4.2
Dare Lenihan,Training,Senior Sales Associate,4,60890.82,3/18/2009,active,Professional Staff,2.6
Minor Cure,Product Management,Librarian,11,134743.78,10/30/2015,active,Senior Management,4.1
